Invoice_ID,date,category,sku,region,channel,price,quantity,discount,revenue,Cost_Per_Unit,Profit,Customer_Type,Payment_Method,Promotion,Month,Year
INV-00017,2023-01-05,Home Care,HO-078,قم,Hypermarket,59959.43,3,0.11,179878.28,45539.63,43259.39,Retail,Card,No,1,2023
INV-00018,2023-01-05,Home Care,HO-010,کرمانشاه,Online,54001.41,5,3.13,270007.07,40817.9,65917.56,Retail,Transfer,No,1,2023
INV-00019,2023-01-05,Personal Care,PE-088,مشهد,Online,119201.63,7,4.0,834411.4,92845.72,184491.39,Retail,POS,No,1,2023
INV-00020,2023-01-06,Home Care,HO-057,اصفهان,Pharmacy,48819.16,71,4.0,3466160.35,38110.95,760282.83,Corporate,Transfer,No,1,2023
INV-00021,2023-01-06,Snacks,SN-082,شیراز,Wholesale,69687.75,12,0.08,836252.99,57389.01,147584.85,Retail,Card,No,1,2023
INV-00022,2023-01-06,Dairy,DA-112,تهران,Supermarket,107037.34,7,3.88,749261.38,80218.69,187730.54,Retail,Card,No,1,2023
INV-00023,2023-01-06,Snacks,SN-130,اهواز,Online,57098.68,3,0.73,171296.04,42187.04,44734.93,Retail,Transfer,No,1,2023
INV-00024,2023-01-06,Home Care,HO-137,تهران,Hypermarket,45275.31,8,4.35,362202.45,34492.66,86261.14,Retail,POS,No,1,2023
INV-00025,2023-01-06,Personal Care,PE-034,مشهد,Supermarket,98815.85,12,3.17,1185790.2,68360.27,365466.9,Retail,Transfer,No,1,2023
INV-00026,2023-01-06,Home Care,HO-146,مشهد,Online,54348.65,1,13.63,54348.65,40890.53,13458.12,Retail,Card,Yes,1,2023
INV-00027,2023-01-06,Dairy,DA-023,کرمانشاه,Supermarket,98994.72,5,3.6,494973.62,69111.74,149414.92,Retail,Transfer,No,1,2023
INV-00028,2023-01-06,Snacks,SN-100,رشت,Supermarket,47244.01,29,24.05,1370076.34,34770.68,361726.51,Corporate,Cash,Yes,1,2023
INV-00029,2023-01-06,Home Care,HO-115,قم,Supermarket,52420.73,4,3.58,209682.92,38647.33,55093.59,Retail,Transfer,No,1,2023
INV-00030,2023-01-06,Dairy,DA-118,قم,Online,106616.19,106,9.49,11301316.07,77489.42,3087437.77,Corporate,Card,Yes,1,2023
INV-00031,2023-01-07,Home Care,HO-012,تهران,Hypermarket,57254.19,105,3.82,6011689.66,44540.21,1334967.79,Corporate,Card,No,1,2023
INV-00032,2023-01-08,Personal Care,PE-008,تبریز,Pharmacy,95022.52,33,4.0,3135743.21,78799.66,535354.35,Corporate,Card,No,1,2023
INV-00033,2023-01-08,Personal Care,PE-092,کرمانشاه,Supermarket,95269.78,11,3.22,1047967.62,67269.47,308003.47,Retail,Card,No,1,2023
INV-00034,2023-01-08,Beverages,BE-129,کرج,Online,57480.66,1,10.33,57480.66,45339.06,12141.6,Retail,POS,Yes,1,2023
INV-00035,2023-01-08,Dairy,DA-031,اصفهان,Online,89083.03,1,2.37,89083.03,69169.49,19913.54,Retail,Card,No,1,2023
INV-00036,2023-01-09,Snacks,SN-064,اهواز,Supermarket,62786.08,3,4.16,188358.23,46795.25,47972.48,Retail,Cash,No,1,2023
INV-00037,2023-01-09,Snacks,SN-094,کرمانشاه,Pharmacy,58747.7,7,4.0,411233.9,44110.84,102458.01,Retail,Transfer,No,1,2023
INV-00038,2023-01-09,Snacks,SN-086,تهران,Pharmacy,58479.9,2,1.56,116959.81,44825.82,27308.17,Retail,Cash,No,1,2023
INV-00039,2023-01-09,Beverages,BE-083,کرج,Pharmacy,59852.54,7,3.29,418967.75,47725.39,84890.04,Retail,Transfer,No,1,2023
INV-00040,2023-01-09,Beverages,BE-054,کرج,Online,64881.57,7,1.17,454171.02,48875.8,112040.43,Retail,Card,No,1,2023
INV-00041,2023-01-09,Dairy,DA-028,شیراز,Pharmacy,127477.94,9,0.17,1147301.46,103263.06,217933.96,Retail,Cash,No,1,2023
INV-00042,2023-01-09,Personal Care,PE-067,کرج,Hypermarket,78673.55,126,24.32,9912867.34,60142.44,2334919.69,Corporate,Transfer,Yes,1,2023
INV-00043,2023-01-09,Home Care,HO-086,رشت,Hypermarket,62131.63,7,3.25,434921.43,43560.31,129999.29,Retail,Transfer,No,1,2023
INV-00044,2023-01-10,Home Care,HO-056,تهران,Supermarket,47685.35,2,5.38,95370.7,32909.56,29551.59,Retail,Transfer,No,1,2023
INV-00045,2023-01-10,Snacks,SN-019,کرمانشاه,Hypermarket,57871.41,4,2.81,231485.64,42342.37,62116.18,Retail,Cash,No,1,2023
INV-00046,2023-01-10,Snacks,SN-118,کرج,Hypermarket,76945.49,1,0.34,76945.49,59566.58,17378.91,Retail,Card,No,1,2023
INV-00047,2023-01-10,Snacks,SN-011,مشهد,Supermarket,82568.16,7,3.61,577977.09,60799.36,152381.59,Retail,POS,No,1,2023
INV-00048,2023-01-10,Beverages,BE-010,شیراز,Hypermarket,75813.45,1,5.66,75813.45,58557.91,17255.55,Retail,Card,No,1,2023
INV-00049,2023-01-11,Dairy,DA-022,قم,Wholesale,116448.49,7,1.42,815139.44,100628.59,110739.3,Retail,Card,No,1,2023
INV-00050,2023-01-11,Snacks,SN-138,مشهد,Hypermarket,73764.79,3,4.6,221294.38,51619.93,66434.59,Retail,Cash,No,1,2023
INV-00051,2023-01-11,Beverages,BE-062,کرمانشاه,Hypermarket,61293.86,1,5.34,61293.86,41183.7,20110.16,Retail,Transfer,No,1,2023
INV-00052,2023-01-12,Beverages,BE-111,قم,Supermarket,73726.21,12,5.42,884714.52,49277.7,293382.1,Retail,Cash,No,1,2023
INV-00053,2023-01-12,Home Care,HO-126,تهران,Supermarket,48705.48,93,4.05,4529609.63,33839.9,1382498.63,Corporate,Card,No,1,2023
INV-00054,2023-01-12,Home Care,HO-079,کرمانشاه,Pharmacy,55622.02,3,0.28,166866.07,47151.07,25412.84,Retail,Transfer,No,1,2023
INV-00055,2023-01-12,Dairy,DA-033,اصفهان,Hypermarket,109514.65,6,0.16,657087.92,83636.46,155269.15,Retail,Transfer,No,1,2023
INV-00056,2023-01-13,Beverages,BE-113,شیراز,Pharmacy,82040.82,1,2.7,82040.82,62078.23,19962.59,Retail,Card,No,1,2023
INV-00057,2023-01-14,Home Care,HO-066,شیراز,Wholesale,68846.48,67,4.03,4612714.38,53769.98,1010125.38,Corporate,Transfer,No,1,2023
INV-00058,2023-01-14,Home Care,HO-146,مشهد,Online,48331.76,2,4.0,96663.52,39394.64,17874.24,Retail,Card,No,1,2023
INV-00059,2023-01-14,Dairy,DA-078,شیراز,Online,111373.95,7,3.14,779617.63,89434.78,153574.13,Retail,Transfer,No,1,2023
INV-00060,2023-01-14,Beverages,BE-057,اصفهان,Wholesale,60018.55,56,4.55,3361039.06,51868.28,456415.22,Corporate,Transfer,No,1,2023
INV-00061,2023-01-14,Snacks,SN-093,قم,Online,61162.09,4,1.25,244648.37,47723.04,53756.2,Retail,Card,No,1,2023
INV-00062,2023-01-16,Beverages,BE-007,شیراز,Hypermarket,46640.11,68,19.21,3171527.36,35527.01,755690.59,Corporate,Transfer,Yes,1,2023
INV-00063,2023-01-16,Beverages,BE-121,تهران,Wholesale,67322.0,106,2.08,7136132.2,55108.17,1294666.64,Corporate,Card,No,1,2023
INV-00064,2023-01-16,Personal Care,PE-026,تبریز,Wholesale,99048.94,12,0.49,1188587.26,84101.4,179370.42,Retail,POS,No,1,2023
INV-00065,2023-01-16,Dairy,DA-054,شیراز,Supermarket,81912.07,5,14.52,409560.33,58514.25,116989.09,Retail,Cash,Yes,1,2023
INV-00066,2023-01-16,Beverages,BE-039,تهران,Online,74266.68,5,0.05,371333.42,60267.94,69993.74,Retail,Card,No,1,2023
INV-00067,2023-01-16,Personal Care,PE-051,تهران,Hypermarket,92467.19,10,0.92,924671.89,66581.16,258860.25,Retail,Cash,No,1,2023
INV-00068,2023-01-17,Beverages,BE-022,شیراز,Online,56797.03,32,4.0,1817504.88,43365.67,429803.4,Corporate,Transfer,No,1,2023
INV-00069,2023-01-17,Beverages,BE-053,کرج,Wholesale,65652.79,6,1.23,393916.72,54823.0,64978.74,Retail,Card,No,1,2023
INV-00070,2023-01-18,Personal Care,PE-076,کرج,Wholesale,76993.89,127,18.6,9778224.42,60743.41,2063811.78,Corporate,Transfer,Yes,1,2023
INV-00071,2023-01-18,Personal Care,PE-043,کرج,Pharmacy,109235.81,1,4.0,109235.81,92846.15,16389.66,Retail,Transfer,No,1,2023
INV-00072,2023-01-18,Personal Care,PE-034,اصفهان,Supermarket,96482.74,3,4.37,289448.23,64394.47,96264.82,Retail,Card,No,1,2023
INV-00073,2023-01-19,Dairy,DA-003,کرمانشاه,Pharmacy,89032.69,5,12.17,445163.45,72763.76,81344.64,Retail,Transfer,Yes,1,2023
INV-00074,2023-01-19,Dairy,DA-044,شیراز,Pharmacy,117770.28,1,2.75,117770.28,95046.68,22723.6,Retail,Transfer,No,1,2023
INV-00075,2023-01-19,Dairy,DA-005,کرج,Wholesale,101475.8,2,2.08,202951.59,84726.9,33497.79,Retail,Transfer,No,1,2023
INV-00076,2023-01-19,Home Care,HO-012,شیراز,Online,48145.67,2,12.92,96291.35,35444.54,25402.26,Retail,Cash,Yes,1,2023
INV-00077,2023-01-20,Home Care,HO-024,مشهد,Wholesale,67708.34,1,4.06,67708.34,54798.8,12909.54,Retail,Transfer,No,1,2023
INV-00078,2023-01-20,Personal Care,PE-066,تهران,Hypermarket,93653.79,1,1.72,93653.79,65356.36,28297.43,Retail,POS,No,1,2023
INV-00079,2023-01-20,Snacks,SN-108,مشهد,Online,62922.94,3,5.72,188768.82,47487.83,46305.34,Retail,Card,Yes,1,2023
INV-00080,2023-01-20,Beverages,BE-051,اهواز,Online,63131.97,6,3.46,378791.8,47207.67,95545.77,Retail,Card,No,1,2023
INV-00081,2023-01-20,Snacks,SN-026,کرج,Pharmacy,64459.25,5,1.28,322296.24,50246.5,71063.73,Retail,Cash,No,1,2023
INV-00082,2023-01-21,Home Care,HO-032,کرمانشاه,Hypermarket,54575.09,64,5.88,3492805.59,37746.33,1077040.4,Corporate,Card,No,1,2023
INV-00083,2023-01-21,Beverages,BE-047,اهواز,Wholesale,86884.43,2,2.34,173768.87,68793.47,36181.94,Retail,Transfer,No,1,2023
INV-00084,2023-01-21,Beverages,BE-142,اصفهان,Pharmacy,71994.86,6,3.57,431969.14,59972.27,72135.54,Retail,Cash,No,1,2023
INV-00085,2023-01-21,Personal Care,PE-078,اهواز,Supermarket,126342.45,5,2.2,631712.24,87199.23,195716.07,Retail,Transfer,No,1,2023
INV-00086,2023-01-22,Beverages,BE-028,شیراز,Wholesale,66088.55,8,4.96,528708.4,55851.68,81894.99,Retail,Transfer,No,1,2023
INV-00087,2023-01-22,Beverages,BE-080,شیراز,Wholesale,65539.18,5,2.09,327695.88,51723.14,69080.19,Retail,Card,No,1,2023
INV-00088,2023-01-23,Home Care,HO-104,کرج,Pharmacy,50202.52,7,4.0,351417.67,41606.7,60170.79,Retail,Cash,No,1,2023
INV-00089,2023-01-23,Personal Care,PE-008,رشت,Pharmacy,93941.93,27,2.79,2536432.07,79124.28,400076.47,Corporate,Card,No,1,2023
INV-00090,2023-01-23,Home Care,HO-124,کرمانشاه,Supermarket,62085.95,109,0.99,6767368.4,41836.27,2207214.96,Corporate,Cash,No,1,2023
INV-00091,2023-01-24,Personal Care,PE-032,مشهد,Wholesale,77125.96,1,2.21,77125.96,65485.1,11640.86,Retail,Card,No,1,2023
INV-00092,2023-01-24,Personal Care,PE-001,کرج,Supermarket,104816.69,8,1.98,838533.55,70556.28,274083.31,Retail,Transfer,No,1,2023
INV-00093,2023-01-24,Personal Care,PE-080,اهواز,Online,73394.99,8,1.94,587159.89,56151.12,137950.92,Retail,POS,No,1,2023
INV-00094,2023-01-24,Home Care,HO-042,رشت,Wholesale,58873.62,11,0.67,647609.83,49697.64,100935.83,Retail,Transfer,No,1,2023
INV-00095,2023-01-24,Home Care,HO-074,اهواز,Hypermarket,59177.19,60,1.74,3550631.39,43346.45,949844.15,Corporate,Card,No,1,2023
INV-00096,2023-01-25,Beverages,BE-143,اهواز,Wholesale,62971.16,9,3.62,566740.41,49883.74,117786.74,Retail,Card,No,1,2023
INV-00097,2023-01-25,Snacks,SN-108,تبریز,Hypermarket,56885.64,49,1.76,2787396.35,41977.98,730475.17,Corporate,Transfer,No,1,2023
INV-00098,2023-01-25,Dairy,DA-140,کرج,Wholesale,108771.84,144,0.81,15663144.54,92258.37,2377939.98,Corporate,Transfer,No,1,2023
INV-00099,2023-01-25,Personal Care,PE-052,رشت,Hypermarket,81750.26,1,4.03,81750.26,54837.96,26912.3,Retail,Transfer,No,1,2023
INV-00100,2023-01-25,Snacks,SN-076,تهران,Hypermarket,68350.75,3,1.46,205052.24,50248.57,54306.52,Retail,Card,No,1,2023
INV-00101,2023-01-25,Home Care,HO-111,مشهد,Online,43907.26,9,14.29,395165.35,35365.66,76874.45,Retail,Card,Yes,1,2023
INV-00102,2023-01-26,Beverages,BE-128,اصفهان,Supermarket,76289.56,79,11.35,6026874.91,54361.44,1732320.91,Corporate,Transfer,Yes,1,2023
INV-00103,2023-01-26,Dairy,DA-044,کرج,Supermarket,108570.96,7,1.54,759996.75,73518.38,245368.09,Retail,Transfer,No,1,2023
INV-00104,2023-01-26,Snacks,SN-100,تبریز,Pharmacy,72723.47,9,0.05,654511.19,55632.61,153817.72,Retail,Transfer,No,1,2023
INV-00105,2023-01-26,Personal Care,PE-044,رشت,Wholesale,106898.24,12,4.63,1282778.89,93733.86,157972.59,Retail,Cash,No,1,2023
INV-00106,2023-01-26,Home Care,HO-044,اهواز,Online,58420.74,9,4.0,525786.68,43298.66,136098.75,Retail,Transfer,No,1,2023
INV-00107,2023-01-26,Dairy,DA-127,رشت,Supermarket,115077.88,3,14.56,345233.64,75083.62,119982.79,Retail,Card,Yes,1,2023
INV-00108,2023-01-27,Personal Care,PE-135,کرمانشاه,Wholesale,107543.98,9,0.3,967895.82,90581.42,152663.04,Retail,Transfer,No,1,2023
INV-00109,2023-01-27,Beverages,BE-016,مشهد,Pharmacy,53531.31,1,3.7,53531.31,43864.26,9667.05,Retail,Transfer,No,1,2023
INV-00110,2023-01-27,Dairy,DA-060,کرمانشاه,Supermarket,94254.51,7,1.59,659781.58,63122.44,217924.52,Retail,Transfer,No,1,2023
INV-00111,2023-01-27,Personal Care,PE-020,تهران,Hypermarket,72535.12,25,5.34,1813378.12,53367.18,479198.68,Corporate,Transfer,No,1,2023
INV-00112,2023-01-27,Beverages,BE-075,اصفهان,Supermarket,67840.28,12,5.64,814083.4,48518.66,231859.47,Retail,Transfer,Yes,1,2023
INV-00113,2023-01-28,Home Care,HO-093,اصفهان,Online,56710.6,3,4.0,170131.8,43193.65,40550.85,Retail,Transfer,No,1,2023
INV-00114,2023-01-28,Snacks,SN-089,کرمانشاه,Supermarket,65047.58,7,3.34,455333.05,48324.36,117062.55,Retail,POS,No,1,2023
INV-00115,2023-01-28,Beverages,BE-134,رشت,Hypermarket,80297.96,31,8.38,2489236.74,61967.09,568257.06,Corporate,Transfer,Yes,1,2023
INV-00116,2023-01-28,Snacks,SN-076,اصفهان,Supermarket,61316.9,2,7.36,122633.81,40925.72,40782.37,Retail,Transfer,Yes,1,2023
INV-00117,2023-01-28,Personal Care,PE-021,اصفهان,Wholesale,91463.22,10,16.5,914632.2,72590.18,188730.35,Retail,Card,Yes,1,2023
INV-00118,2023-01-28,Beverages,BE-046,اهواز,Pharmacy,77126.71,39,2.05,3007941.67,61945.63,592062.13,Corporate,Transfer,No,1,2023
INV-00119,2023-01-28,Dairy,DA-048,مشهد,Supermarket,133713.53,1,1.43,133713.53,91992.01,41721.53,Retail,Transfer,No,1,2023
INV-00120,2023-01-29,Beverages,BE-042,قم,Online,76335.34,4,2.19,305341.37,60327.85,64029.95,Retail,Card,No,1,2023
INV-00121,2023-01-29,Beverages,BE-078,اصفهان,Wholesale,63820.94,134,4.27,8552005.42,50986.79,1719775.35,Corporate,Card,No,1,2023
INV-00122,2023-01-30,Dairy,DA-023,تبریز,Supermarket,130939.87,8,2.27,1047518.98,93649.65,298321.81,Retail,Card,No,1,2023
INV-00123,2023-01-30,Snacks,SN-073,رشت,Supermarket,59199.36,2,16.29,118398.73,40683.8,37031.13,Retail,POS,Yes,1,2023
INV-00124,2023-01-30,Beverages,BE-106,رشت,Supermarket,61425.31,1,1.34,61425.31,42407.55,19017.76,Retail,Card,No,1,2023
INV-00125,2023-01-30,Home Care,HO-066,کرمانشاه,Online,52535.86,20,17.94,1050717.19,42840.98,193897.55,Corporate,Transfer,Yes,1,2023
INV-00126,2023-01-30,Snacks,SN-010,تهران,Pharmacy,56725.22,1,6.15,56725.22,47286.42,9438.8,Retail,Transfer,Yes,1,2023
INV-00127,2023-01-31,Personal Care,PE-041,مشهد,Supermarket,112487.08,11,8.48,1237357.93,84139.43,311824.15,Retail,Cash,Yes,1,2023
INV-00128,2023-02-01,Snacks,SN-110,کرمانشاه,Hypermarket,63223.09,5,7.87,316115.44,43901.42,96608.36,Retail,Card,Yes,2,2023
INV-00129,2023-02-02,Snacks,SN-073,تبریز,Wholesale,58647.66,7,3.68,410533.63,47325.0,79258.64,Retail,Transfer,No,2,2023
INV-00130,2023-02-02,Snacks,SN-008,قم,Pharmacy,63005.67,8,3.91,504045.36,50910.3,96762.96,Retail,Card,No,2,2023
INV-00131,2023-02-02,Snacks,SN-116,اهواز,Supermarket,59151.63,5,4.75,295758.13,41995.0,85783.13,Retail,Card,No,2,2023
INV-00132,2023-02-02,Dairy,DA-050,کرمانشاه,Wholesale,113999.92,7,3.25,797999.42,94766.16,134636.32,Retail,Card,No,2,2023
INV-00133,2023-02-02,Beverages,BE-001,تبریز,Supermarket,58537.08,5,17.58,292685.4,39863.42,93368.31,Retail,Transfer,Yes,2,2023
INV-00134,2023-02-02,Dairy,DA-028,تهران,Hypermarket,102527.54,7,3.1,717692.76,76506.83,182144.95,Retail,Card,No,2,2023
INV-00135,2023-02-03,Personal Care,PE-042,کرمانشاه,Hypermarket,123079.97,90,5.19,11077197.7,89601.97,3013019.96,Corporate,Cash,No,2,2023
INV-00136,2023-02-03,Personal Care,PE-015,قم,Pharmacy,100291.02,66,15.7,6619207.24,82075.77,1202206.67,Corporate,Transfer,Yes,2,2023
INV-00137,2023-02-03,Snacks,SN-113,رشت,Wholesale,55261.35,5,4.86,276306.74,46340.25,44605.47,Retail,Card,No,2,2023
INV-00138,2023-02-03,Personal Care,PE-024,تهران,Pharmacy,75217.13,96,23.69,7220844.83,59481.06,1510663.54,Corporate,Transfer,Yes,2,2023
INV-00139,2023-02-04,Dairy,DA-144,تهران,Hypermarket,109611.39,1,6.67,109611.39,78979.75,30631.64,Retail,Transfer,Yes,2,2023
INV-00140,2023-02-04,Personal Care,PE-050,شیراز,Hypermarket,116813.35,8,3.65,934506.76,86177.06,245090.3,Retail,Transfer,No,2,2023
INV-00141,2023-02-04,Dairy,DA-064,تهران,Pharmacy,105505.16,90,4.0,9495464.5,79466.15,2343511.21,Corporate,Transfer,No,2,2023
INV-00142,2023-02-04,Dairy,DA-112,کرج,Wholesale,93220.29,38,1.87,3542370.98,79416.27,524552.63,Corporate,Card,No,2,2023
INV-00143,2023-02-04,Personal Care,PE-002,رشت,Hypermarket,88188.83,11,5.53,970077.13,60150.37,308423.06,Retail,Transfer,No,2,2023
INV-00144,2023-02-04,Personal Care,PE-093,اصفهان,Online,122237.43,10,2.57,1222374.33,95178.68,270587.58,Retail,Transfer,No,2,2023
INV-00145,2023-02-05,Personal Care,PE-008,قم,Online,112326.73,6,1.04,673960.36,83431.39,173372.04,Retail,Transfer,No,2,2023
INV-00146,2023-02-05,Home Care,HO-002,رشت,Wholesale,43048.69,8,4.44,344389.51,37010.2,48307.94,Retail,Transfer,No,2,2023
INV-00147,2023-02-05,Beverages,BE-005,شیراز,Pharmacy,63179.77,5,2.59,315898.87,47598.61,77905.81,Retail,Card,No,2,2023
INV-00148,2023-02-05,Dairy,DA-106,تهران,Pharmacy,102985.89,54,0.94,5561237.8,83705.47,1041142.39,Corporate,Cash,No,2,2023
INV-00149,2023-02-05,Snacks,SN-036,رشت,Pharmacy,58104.59,1,1.27,58104.59,48309.79,9794.8,Retail,Transfer,No,2,2023
INV-00150,2023-02-05,Personal Care,PE-001,اهواز,Online,108784.41,40,4.0,4351376.21,87462.34,852882.49,Corporate,Card,No,2,2023
INV-00151,2023-02-06,Dairy,DA-074,اهواز,Online,124914.12,6,3.13,749484.72,99967.06,149682.34,Retail,Card,No,2,2023
INV-00152,2023-02-07,Home Care,HO-111,قم,Pharmacy,46272.74,78,14.98,3609273.9,36069.4,795860.88,Corporate,Card,Yes,2,2023
INV-00153,2023-02-08,Snacks,SN-142,مشهد,Hypermarket,57642.95,1,6.26,57642.95,41335.56,16307.39,Retail,Card,Yes,2,2023
INV-00154,2023-02-08,Snacks,SN-017,اصفهان,Wholesale,57627.46,81,0.71,4667824.32,48932.03,704329.68,Corporate,Transfer,No,2,2023
INV-00155,2023-02-08,Beverages,BE-104,مشهد,Supermarket,64323.81,8,3.04,514590.51,44096.83,161815.86,Retail,Card,No,2,2023
INV-00156,2023-02-08,Personal Care,PE-141,مشهد,Online,97479.56,1,1.35,97479.56,74832.22,22647.35,Retail,Card,No,2,2023
INV-00157,2023-02-08,Beverages,BE-064,تبریز,Pharmacy,75357.66,12,0.13,904291.93,57185.25,218068.96,Corporate,Transfer,No,2,2023
INV-00158,2023-02-08,Personal Care,PE-014,رشت,Wholesale,111718.48,2,0.27,223436.96,93167.72,37101.52,Retail,Transfer,No,2,2023
INV-00159,2023-02-08,Home Care,HO-040,تبریز,Supermarket,53778.16,15,1.43,806672.39,35051.35,280902.14,Corporate,POS,No,2,2023
INV-00160,2023-02-09,Dairy,DA-133,رشت,Hypermarket,93747.88,11,3.29,1031226.69,71205.14,247970.2,Retail,Card,No,2,2023
INV-00161,2023-02-09,Home Care,HO-131,کرمانشاه,Supermarket,35639.58,11,13.78,392035.43,25478.94,111767.11,Retail,Transfer,Yes,2,2023
INV-00162,2023-02-09,Dairy,DA-114,اصفهان,Online,110513.43,2,6.77,221026.87,82562.05,55902.76,Retail,Card,Yes,2,2023
INV-00163,2023-02-09,Dairy,DA-074,شیراز,Supermarket,122060.71,8,3.55,976485.71,82328.51,317857.64,Retail,Transfer,No,2,2023
INV-00164,2023-02-09,Home Care,HO-047,تهران,Hypermarket,57159.06,8,1.44,457272.48,38601.49,148460.59,Retail,Cash,No,2,2023
INV-00165,2023-02-09,Personal Care,PE-011,شیراز,Supermarket,110673.65,93,1.34,10292649.29,75174.85,3301388.44,Corporate,Transfer,No,2,2023
INV-00166,2023-02-09,Dairy,DA-055,قم,Wholesale,97815.27,16,1.17,1565044.24,81129.08,266979.02,Corporate,Card,No,2,2023
INV-00167,2023-02-10,Dairy,DA-134,کرمانشاه,Online,101969.33,97,0.25,9891025.24,81506.36,1984908.44,Corporate,Transfer,No,2,2023
INV-00168,2023-02-10,Dairy,DA-064,قم,Pharmacy,92476.66,5,7.45,462383.29,74362.67,90569.93,Retail,Card,Yes,2,2023
INV-00169,2023-02-10,Snacks,SN-116,تبریز,Hypermarket,57939.94,10,12.52,579399.39,40633.57,173063.65,Retail,Card,Yes,2,2023
INV-00170,2023-02-10,Beverages,BE-057,کرمانشاه,Wholesale,66628.19,55,3.02,3664550.24,52232.35,791771.06,Corporate,Cash,No,2,2023
INV-00171,2023-02-10,Beverages,BE-147,اهواز,Wholesale,59016.04,6,4.14,354096.25,49179.29,59020.5,Retail,POS,No,2,2023
INV-00172,2023-02-10,Dairy,DA-080,کرج,Supermarket,97159.39,9,12.86,874434.54,64238.97,296283.85,Retail,Transfer,Yes,2,2023
INV-00173,2023-02-11,Personal Care,PE-135,تهران,Supermarket,75195.98,10,12.81,751959.84,54214.32,209816.67,Retail,Transfer,Yes,2,2023
INV-00174,2023-02-11,Beverages,BE-063,کرمانشاه,Online,77722.49,10,4.0,777224.88,56551.0,211714.93,Retail,Card,No,2,2023
INV-00175,2023-02-12,Snacks,SN-072,اصفهان,Hypermarket,79493.04,3,6.24,238479.12,56699.19,68381.54,Retail,Transfer,Yes,2,2023
INV-00176,2023-02-12,Snacks,SN-104,کرمانشاه,Supermarket,63397.02,8,3.05,507176.13,45477.39,143357.01,Retail,Cash,No,2,2023
INV-00177,2023-02-12,Snacks,SN-041,قم,Hypermarket,69322.11,11,3.35,762543.26,52140.4,188998.84,Retail,Card,No,2,2023
INV-00178,2023-02-12,Beverages,BE-112,رشت,Online,71936.74,3,0.45,215810.21,56879.29,45172.33,Retail,Transfer,No,2,2023
INV-00179,2023-02-12,Personal Care,PE-029,اهواز,Pharmacy,109018.46,2,4.0,218036.92,85318.95,47399.01,Retail,Transfer,No,2,2023
INV-00180,2023-02-13,Beverages,BE-020,کرج,Hypermarket,71823.37,49,3.56,3519345.21,53033.5,920703.5,Corporate,Transfer,No,2,2023
INV-00181,2023-02-13,Snacks,SN-104,تهران,Wholesale,77964.33,134,3.23,10447219.82,64938.65,1745441.2,Corporate,Transfer,No,2,2023
INV-00182,2023-02-13,Dairy,DA-148,اهواز,Wholesale,94590.43,107,0.5,10121175.5,82848.9,1256343.65,Corporate,POS,No,2,2023
